real_id,virtual_id,timestamp,delta_time,behavior,initial_balance,activity_type,granted,amount,balance,initial_country,location,device,network,agent_type,is_fraud
8,8,2025-02-24 20:25:06,0 days 01:39:36,legitimate,67140.97,Make Purchase,True,-69.50188,67071.47,France,France,Windows Laptop,Home WiFi,static,0
9,9,2025-02-24 21:02:38,0 days 00:42:12,legitimate,27387.812,Make Purchase,True,-13.627172,27374.186,China,China,Android,Mobile Network,static,0
10,10,2025-02-24 19:24:47,0 days 01:17:32,legitimate,3445.7651,Deposit Funds,True,141.86613,3587.6313,China,China,MacBook,Public WiFi,static,0
11,11,2025-02-24 21:44:35,0 days 01:52:45,legitimate,72738.09,Deposit Funds,True,56.443428,72794.53,UK,UK,MacBook,Corporate Network,static,0
12,12,2025-02-24 21:36:58,0 days 01:15:05,legitimate,61490.418,Make Purchase,True,-305.2788,61185.137,China,China,Windows Laptop,Home WiFi,static,0
13,13,2025-02-24 21:47:08,0 days 02:07:28,legitimate,89427.69,Make Purchase,True,-125.14828,89302.54,Japan,Japan,iPhone,Home WiFi,static,0
14,14,2025-02-24 20:53:51,0 days 02:34:15,legitimate,5490.711,Invest Money,True,-384.23593,5106.475,Japan,Japan,Windows Laptop,Corporate Network,traveler,0
15,15,2025-02-24 19:03:28,0 days 01:10:13,legitimate,95642.49,Make Purchase,True,-464.74445,95177.75,France,France,Android,Public WiFi,static,0
16,16,2025-02-24 20:15:57,0 days 01:35:36,legitimate,83692.32,Pay Bills,True,-261.18396,83431.13,UK,UK,Android,Public WiFi,static,0
17,17,2025-02-24 22:10:37,0 days 01:53:28,legitimate,44917.28,Make Purchase,True,-66.02258,44851.258,USA,Japan,Android,Home WiFi,traveler,0
18,18,2025-02-24 23:29:06,0 days 02:53:51,legitimate,80291.06,Apply for Loan,True,0.0,80291.06,China,China,Windows Laptop,Mobile Network,static,0
19,19,2025-02-24 21:06:40,0 days 00:50:28,legitimate,48413.844,Make Purchase,True,-174.08812,48239.754,Japan,Japan,iPhone,Home WiFi,traveler,0
20,20,2025-02-24 19:00:12,0 days 00:28:51,legitimate,70133.65,Transfer Funds,True,-172.06909,69961.58,Japan,Japan,Android,Corporate Network,static,0
21,21,2025-02-24 19:04:59,0 days 00:18:55,legitimate,79733.28,Deposit Funds,True,31.786785,79765.06,France,France,Windows Laptop,Public WiFi,static,0
22,22,2025-02-24 17:51:05,0 days 00:05:18,card_skimming,22703.824,POS Purchase,True,-4155.409,18548.414,Japan,Cayman Islands,iPhone,Public WiFi,static,1
23,23,2025-02-24 19:33:02,0 days 00:41:42,legitimate,81508.195,Invest Money,True,-120.33133,81387.87,Germany,Germany,iPhone,Home WiFi,static,0
24,24,2025-02-24 18:41:41,0 days 00:23:22,legitimate,18830.65,Make Purchase,True,-61.077312,18769.572,France,France,iPhone,Public WiFi,static,0
25,25,2025-02-24 21:43:05,0 days 01:17:59,legitimate,37769.59,Review activityments,True,0.0,37769.59,USA,France,iPhone,Home WiFi,traveler,0
26,26,2025-02-24 20:08:49,0 days 01:17:42,legitimate,56913.598,Close Account,True,0.0,56913.598,China,China,iPhone,Mobile Network,static,0
27,27,2025-02-24 21:37:26,0 days 02:00:30,legitimate,63011.77,Apply for Loan,True,0.0,63011.77,China,China,MacBook,Public WiFi,static,0
28,28,2025-02-24 22:54:20,0 days 02:21:11,legitimate,75071.164,Invest Money,True,-208.25174,74862.914,USA,USA,MacBook,Home WiFi,static,0
29,29,2025-02-24 22:08:51,0 days 02:26:16,legitimate,63578.562,Pay Bills,True,-571.6149,63006.945,USA,Japan,Windows Laptop,Corporate Network,traveler,0
30,1,2025-02-24 21:30:40,0 days 00:10:04,identity_theft,59371.094,Request New Card,True,0.0,59371.094,USA,Germany,iPhone,Home WiFi,static,1
31,31,2025-02-24 20:56:32,0 days 02:01:47,legitimate,22362.748,Deposit Funds,True,398.86948,22761.617,USA,USA,Windows Laptop,Home WiFi,static,0
32,32,2025-02-24 20:16:19,0 days 02:21:29,legitimate,14302.22,Review activityments,True,0.0,14302.22,France,France,iPhone,Corporate Network,traveler,0
33,33,2025-02-24 20:57:54,0 days 02:50:44,legitimate,74728.57,Deposit Funds,True,145.18364,74873.75,France,France,Android,Home WiFi,traveler,0
34,34,2025-02-24 20:05:25,0 days 00:12:08,legitimate,24322.877,Deposit Funds,True,49.75604,24372.633,USA,USA,iPhone,Public WiFi,static,0
35,35,2025-02-24 21:44:35,0 days 01:48:18,legitimate,43581.65,Apply for Loan,True,0.0,43581.65,France,USA,Windows Laptop,Home WiFi,traveler,0
36,36,2025-02-24 20:21:16,0 days 00:45:05,legitimate,26500.734,Make Purchase,True,-80.02742,26420.707,China,China,MacBook,Home WiFi,traveler,0
37,37,2025-02-24 19:39:03,0 days 01:08:45,legitimate,48356.8,Make Purchase,True,-50.30287,48306.5,UK,France,MacBook,Mobile Network,traveler,0
38,38,2025-02-24 21:09:01,0 days 01:30:38,legitimate,50096.27,Make Purchase,True,-195.74829,49900.523,China,China,iPad,Home WiFi,static,0
39,39,2025-02-24 20:57:02,0 days 02:30:47,legitimate,95915.42,Pay Bills,True,-100.062,95815.36,Japan,France,Windows Laptop,Home WiFi,static,0
0,0,2025-02-24 21:35:32,0 days 01:00:52,legitimate,19199.16,Review activityments,True,0.0,19199.16,China,UK,iPhone,Public WiFi,traveler,0
1,1,2025-02-24 23:02:14,0 days 01:31:34,legitimate,59371.094,Apply for Loan,True,0.0,59371.094,USA,USA,Windows Laptop,Home WiFi,static,0
2,2,2025-02-25 00:33:04,0 days 01:29:59,legitimate,48964.293,Transfer Funds,True,-422.14746,48542.15,Japan,Japan,Android,Home WiFi,static,0
3,3,2025-02-24 21:29:54,0 days 02:34:36,legitimate,83428.06,Transfer Funds,True,-186.28354,83241.77,China,China,Android,Public WiFi,static,0
4,4,2025-02-24 20:32:13,0 days 00:41:11,legitimate,51398.043,Make Purchase,True,-171.71841,51226.324,Germany,Germany,iPhone,Corporate Network,static,0
5,5,2025-02-24 21:14:55,0 days 00:03:30,legitimate,61616.254,Transfer Funds,True,-135.05623,61481.195,USA,USA,iPad,Public WiFi,static,0
6,6,2025-02-24 22:14:53,0 days 00:05:33,legitimate,58543.49,Make Purchase,True,-564.4427,57979.047,USA,USA,Windows Laptop,Mobile Network,static,0
7,7,2025-02-25 00:40:52,0 days 01:59:44,legitimate,87949.53,Transfer Funds,True,-453.6667,87495.87,Japan,Japan,Android,Home WiFi,traveler,0
8,8,2025-02-24 21:14:17,0 days 00:49:11,legitimate,67071.47,Apply for Credit Card,True,0.0,67071.47,France,France,Android,Home WiFi,static,0
9,9,2025-02-24 23:17:31,0 days 02:14:53,legitimate,27374.186,Make Purchase,True,-249.35396,27124.832,China,China,Windows Laptop,Home WiFi,static,0
10,10,2025-02-24 21:26:51,0 days 02:02:04,legitimate,3587.6313,Make Purchase,True,-56.167637,3531.4636,China,China,Linux PC,Public WiFi,static,0
11,11,2025-02-24 23:01:29,0 days 01:16:54,legitimate,72794.53,Deposit Funds,True,151.40529,72945.94,UK,UK,Linux PC,Home WiFi,static,0
12,12,2025-02-24 23:02:31,0 days 01:25:33,legitimate,61185.137,Deposit Funds,True,48.94373,61234.082,China,China,Android,Public WiFi,static,0
13,13,2025-02-25 00:01:40,0 days 02:14:32,legitimate,89302.54,Pay Bills,True,-81.51009,89221.03,Japan,Japan,Windows Laptop,Public WiFi,static,0
14,14,2025-02-24 22:49:16,0 days 01:55:25,legitimate,5106.475,Transfer Funds,True,-415.17044,4691.3047,Japan,Japan,iPhone,Corporate Network,traveler,0
15,15,2025-02-24 21:00:21,0 days 01:56:53,legitimate,95177.75,Make Purchase,True,-130.87688,95046.87,France,France,iPhone,Public WiFi,static,0
16,16,2025-02-24 21:29:31,0 days 01:13:34,legitimate,83431.13,Pay Bills,True,-263.11398,83168.02,UK,UK,Windows Laptop,Public WiFi,static,0
17,17,2025-02-25 00:36:19,0 days 02:25:42,legitimate,44851.258,Make Purchase,True,-80.02742,44771.23,USA,USA,MacBook,Home WiFi,traveler,0
18,18,2025-02-25 00:59:44,0 days 01:30:38,legitimate,80291.06,Apply for Loan,True,0.0,80291.06,China,China,iPhone,Public WiFi,static,0
19,19,2025-02-24 22:29:58,0 days 01:23:18,legitimate,48239.754,Make Purchase,True,-224.01205,48015.742,Japan,UK,Windows Laptop,Home WiFi,traveler,0
20,20,2025-02-24 19:01:32,0 days 00:01:20,legitimate,69961.58,Make Purchase,True,-47.9287,69913.65,Japan,Japan,iPhone,Mobile Network,static,0
21,21,2025-02-24 19:57:13,0 days 00:52:14,legitimate,79765.06,Pay Bills,True,-59.834217,79705.234,France,France,Windows Laptop,Home WiFi,static,0
22,22,2025-02-24 18:04:48,0 days 00:13:43,card_skimming,18548.414,Online Purchase,True,-677.62976,17870.785,Japan,Cayman Islands,Linux PC,Mobile Network,static,1
23,23,2025-02-24 19:49:01,0 days 00:15:59,legitimate,81387.87,Invest Money,True,-278.99353,81108.875,Germany,Germany,iPhone,Home WiFi,static,0
24,24,2025-02-24 21:30:49,0 days 02:49:08,legitimate,18769.572,Make Purchase,True,-362.78568,18406.787,France,France,Windows Laptop,Public WiFi,static,0
25,25,2025-02-24 23:10:05,0 days 01:27:00,legitimate,37769.59,Review activityments,True,0.0,37769.59,USA,USA,Windows Laptop,Corporate Network,traveler,0
27,27,2025-02-24 23:16:40,0 days 01:39:14,legitimate,63011.77,Review activityments,True,0.0,63011.77,China,USA,Android,Public WiFi,static,0
28,28,2025-02-24 23:28:47,0 days 00:34:27,legitimate,74862.914,Invest Money,True,-245.76851,74617.15,USA,USA,Android,Corporate Network,static,0
29,29,2025-02-25 00:28:35,0 days 02:19:44,legitimate,63006.945,Pay Bills,True,-132.98819,62873.957,USA,USA,Windows Laptop,Mobile Network,traveler,0
30,1,2025-02-24 23:07:30,0 days 00:05:16,identity_theft,59371.094,Change Email,True,0.0,59371.094,USA,Singapore,iPhone,Mobile Network,static,1
31,31,2025-02-24 23:46:21,0 days 02:49:49,legitimate,22761.617,Deposit Funds,True,152.74341,22914.361,USA,USA,Android,Mobile Network,static,0
32,32,2025-02-24 21:18:19,0 days 01:02:00,legitimate,14302.22,Review activityments,True,0.0,14302.22,France,Germany,MacBook,Public WiFi,traveler,0
33,33,2025-02-24 23:15:36,0 days 02:17:42,legitimate,74873.75,Deposit Funds,True,95.388336,74969.14,France,UK,Linux PC,Public WiFi,traveler,0
34,34,2025-02-24 21:23:51,0 days 01:18:26,legitimate,24372.633,Deposit Funds,True,119.059654,24491.693,USA,USA,Android,Corporate Network,static,0
35,35,2025-02-24 21:57:40,0 days 00:13:05,legitimate,43581.65,Deposit Funds,True,802.3276,44383.977,France,UK,MacBook,Mobile Network,traveler,0
36,36,2025-02-24 20:30:44,0 days 00:09:28,legitimate,26420.707,Make Purchase,True,-813.9193,25606.787,China,Japan,Windows Laptop,Public WiFi,traveler,0
37,37,2025-02-24 22:21:46,0 days 02:42:43,legitimate,48306.5,Pay Bills,True,-57.970768,48248.527,UK,Japan,iPhone,Home WiFi,traveler,0
38,38,2025-02-24 22:04:41,0 days 00:55:40,legitimate,49900.523,Make Purchase,True,-281.7366,49618.785,China,China,MacBook,Mobile Network,static,0
39,39,2025-02-24 22:33:20,0 days 01:36:18,legitimate,95815.36,Make Purchase,True,-156.77222,95658.586,Japan,France,Android,Public WiFi,static,0
0,0,2025-02-24 22:42:50,0 days 01:07:18,legitimate,19199.16,Pay Bills,True,-314.48004,18884.68,China,France,MacBook,Public WiFi,traveler,0
1,1,2025-02-24 23:41:05,0 days 00:33:35,legitimate,59371.094,Apply for Loan,True,0.0,59371.094,USA,USA,Android,Home WiFi,static,0
2,2,2025-02-25 01:31:21,0 days 00:58:17,legitimate,48542.15,Transfer Funds,True,-115.96393,48426.184,Japan,Japan,Android,Mobile Network,static,0
3,3,2025-02-24 23:32:27,0 days 02:02:33,legitimate,83241.77,Deposit Funds,True,509.49673,83751.27,China,China,MacBook,Home WiFi,static,0
4,4,2025-02-24 23:24:44,0 days 02:52:31,legitimate,51226.324,Make Purchase,True,-53.579773,51172.746,Germany,Germany,Windows Laptop,Mobile Network,static,0
5,5,2025-02-25 00:06:01,0 days 02:51:06,legitimate,61481.195,Transfer Funds,True,-244.62944,61236.566,USA,USA,iPhone,Home WiFi,static,0
6,6,2025-02-25 00:38:57,0 days 02:24:04,legitimate,57979.047,Deposit Funds,True,260.92,58239.97,USA,USA,Android,Mobile Network,static,0
7,7,2025-02-25 01:37:19,0 days 00:56:27,legitimate,87495.87,Pay Bills,True,-202.28313,87293.58,Japan,Japan,Linux PC,Home WiFi,traveler,0
8,8,2025-02-24 22:28:57,0 days 01:14:40,legitimate,67071.47,Pay Bills,True,-33.873363,67037.59,France,France,Android,Home WiFi,static,0
9,9,2025-02-24 23:50:13,0 days 00:32:42,legitimate,27124.832,Make Purchase,True,-128.87564,26995.955,China,China,Windows Laptop,Mobile Network,static,0
10,10,2025-02-24 23:15:48,0 days 01:48:57,legitimate,3531.4636,Transfer Funds,True,-83.653885,3447.8098,China,China,MacBook,Home WiFi,static,0
11,11,2025-02-25 01:02:02,0 days 02:00:33,legitimate,72945.94,Apply for Credit Card,True,0.0,72945.94,UK,UK,iPhone,Corporate Network,static,0
12,12,2025-02-25 01:34:26,0 days 02:31:55,legitimate,61234.082,Pay Bills,True,-20.210093,61213.87,China,China,Android,Mobile Network,static,0
13,13,2025-02-25 00:43:30,0 days 00:41:50,legitimate,89221.03,Pay Bills,True,-18.887833,89202.14,Japan,Japan,iPhone,Mobile Network,static,0
14,14,2025-02-25 01:16:06,0 days 02:26:50,legitimate,4691.3047,Transfer Funds,True,-530.80145,4160.5034,Japan,UK,Windows Laptop,Home WiFi,traveler,0
15,15,2025-02-24 21:30:49,0 days 00:30:28,legitimate,95046.87,Make Purchase,True,-12.658866,95034.21,France,France,iPhone,Home WiFi,static,0
16,16,2025-02-24 21:54:09,0 days 00:24:38,legitimate,83168.02,Pay Bills,True,-48.754864,83119.266,UK,UK,Android,Home WiFi,static,0
17,17,2025-02-25 02:49:38,0 days 02:13:19,legitimate,44771.23,Make Purchase,True,-363.8761,44407.355,USA,USA,iPad,Public WiFi,traveler,0
18,18,2025-02-25 01:19:47,0 days 00:20:03,legitimate,80291.06,Invest Money,True,-1039.6884,79251.375,China,China,iPhone,Public WiFi,static,0
19,19,2025-02-24 23:47:33,0 days 01:17:35,legitimate,48015.742,Make Purchase,True,-36.27266,47979.47,Japan,UK,Android,Corporate Network,traveler,0
20,20,2025-02-24 21:41:00,0 days 02:39:28,legitimate,69913.65,Pay Bills,True,-204.48082,69709.17,Japan,UK,Android,Public WiFi,static,0
21,21,2025-02-24 21:29:21,0 days 01:32:08,legitimate,79705.234,Pay Bills,True,-198.52347,79506.71,France,France,iPhone,Mobile Network,static,0
22,22,2025-02-24 18:12:07,0 days 00:07:19,card_skimming,17870.785,POS Purchase,True,-2622.0483,15248.736,Japan,Switzerland,Windows Laptop,Home WiFi,static,1
23,23,2025-02-24 20:36:42,0 days 00:47:41,legitimate,81108.875,Invest Money,True,-94.548706,81014.33,Germany,Germany,Android,Mobile Network,static,0
24,24,2025-02-25 00:19:18,0 days 02:48:29,legitimate,18406.787,Make Purchase,True,-80.120056,18326.666,France,France,Android,Mobile Network,static,0
25,25,2025-02-24 23:21:50,0 days 00:11:45,legitimate,37769.59,Review activityments,True,0.0,37769.59,USA,USA,MacBook,Corporate Network,traveler,0
27,27,2025-02-25 00:51:42,0 days 01:35:02,legitimate,63011.77,Review activityments,True,0.0,63011.77,China,China,Android,Mobile Network,static,0
28,28,2025-02-25 02:11:47,0 days 02:43:00,legitimate,74617.15,Apply for Credit Card,True,0.0,74617.15,USA,USA,Android,Home WiFi,static,0
29,29,2025-02-25 01:36:13,0 days 01:07:38,legitimate,62873.957,Transfer Funds,True,-201.18605,62672.773,USA,France,iPhone,Home WiFi,traveler,0
30,1,2025-02-24 23:51:51,0 days 00:10:46,identity_theft,59371.094,Change Email,True,0.0,59371.094,USA,Cayman Islands,MacBook,Home WiFi,static,1
31,31,2025-02-24 23:58:03,0 days 00:11:42,legitimate,22914.361,Make Purchase,True,-98.21589,22816.145,USA,USA,iPhone,Mobile Network,static,0
32,32,2025-02-24 22:49:11,0 days 01:30:52,legitimate,14302.22,Pay Bills,True,-174.05972,14128.16,France,France,Android,Home WiFi,traveler,0
33,33,2025-02-24 23:56:27,0 days 00:40:51,legitimate,74969.14,Invest Money,True,-42.938736,74926.2,France,France,Linux PC,Home WiFi,traveler,0
34,34,2025-02-24 21:29:51,0 days 00:06:00,legitimate,24491.693,Deposit Funds,True,86.80191,24578.494,USA,USA,iPhone,Public WiFi,static,0
35,35,2025-02-25 00:30:20,0 days 02:32:40,legitimate,44383.977,Make Purchase,True,-68.89163,44315.086,France,France,Android,Home WiFi,traveler,0
36,36,2025-02-24 21:00:56,0 days 00:30:12,legitimate,25606.787,Make Purchase,True,-48.345516,25558.443,China,USA,Android,Mobile Network,traveler,0
37,37,2025-02-24 23:12:30,0 days 00:50:44,legitimate,48248.527,Pay Bills,True,-488.88147,47759.645,UK,UK,Windows Laptop,Public WiFi,traveler,0
38,38,2025-02-24 23:18:19,0 days 01:13:38,legitimate,49618.785,Pay Bills,True,-376.2909,49242.496,China,China,Android,Home WiFi,static,0
39,39,2025-02-25 00:19:17,0 days 01:45:57,legitimate,95658.586,Make Purchase,True,-118.930534,95539.66,Japan,Japan,MacBook,Home WiFi,static,0
0,0,2025-02-24 23:46:51,0 days 01:04:01,legitimate,18884.68,Transfer Funds,True,-226.51878,18658.16,China,Japan,iPad,Home WiFi,traveler,0
1,1,2025-02-25 02:35:00,0 days 02:43:09,legitimate,59371.094,Apply for Loan,True,0.0,59371.094,USA,USA,MacBook,Public WiFi,static,0
2,2,2025-02-25 03:34:25,0 days 02:03:04,legitimate,48426.184,Deposit Funds,True,72.91308,48499.098,Japan,Japan,Android,Home WiFi,static,0
3,3,2025-02-25 01:19:05,0 days 01:46:38,legitimate,83751.27,Deposit Funds,True,88.39826,83839.67,China,China,Windows Laptop,Home WiFi,static,0
4,4,2025-02-25 00:33:18,0 days 01:08:34,legitimate,51172.746,Pay Bills,True,-125.81733,51046.93,Germany,Germany,iPad,Mobile Network,static,0
5,5,2025-02-25 02:58:24,0 days 02:52:23,legitimate,61236.566,Make Purchase,True,-996.59705,60239.97,USA,USA,Android,Public WiFi,static,0
6,6,2025-02-25 02:51:40,0 days 02:12:43,legitimate,58239.97,Make Purchase,True,-287.15564,57952.812,USA,USA,iPhone,Home WiFi,static,0
7,7,2025-02-25 04:14:08,0 days 02:36:49,legitimate,87293.58,Transfer Funds,True,-78.89831,87214.68,Japan,UK,iPhone,Public WiFi,traveler,0
8,8,2025-02-25 00:16:01,0 days 01:47:04,legitimate,67037.59,Pay Bills,True,-46.466198,66991.125,France,France,Android,Mobile Network,static,0
9,9,2025-02-25 00:57:53,0 days 01:07:40,legitimate,26995.955,Pay Bills,True,-22.091042,26973.865,China,China,Android,Home WiFi,static,0
10,10,2025-02-25 01:41:41,0 days 02:25:53,legitimate,3447.8098,Deposit Funds,True,183.52444,3631.3342,China,China,iPhone,Public WiFi,static,0
11,11,2025-02-25 02:24:36,0 days 01:22:34,legitimate,72945.94,Apply for Credit Card,True,0.0,72945.94,UK,UK,Windows Laptop,Public WiFi,static,0
12,12,2025-02-25 03:11:00,0 days 01:36:34,legitimate,61213.87,Pay Bills,True,-1083.522,60130.348,China,China,iPhone,Home WiFi,static,0
13,13,2025-02-25 01:14:32,0 days 00:31:02,legitimate,89202.14,Make Purchase,True,-35.700905,89166.445,Japan,USA,iPhone,Home WiFi,static,0
14,14,2025-02-25 03:48:30,0 days 02:32:24,legitimate,4160.5034,Make Purchase,True,-819.5168,3340.9866,Japan,France,Android,Mobile Network,traveler,0
15,15,2025-02-24 21:50:29,0 days 00:19:40,legitimate,95034.21,Transfer Funds,True,-254.23401,94779.98,France,France,iPhone,Mobile Network,static,0
